prefix,peer_asn,as_path
197.214.32.0/22,24482,24482 6453 174 24691 37613 36873 37531
197.214.32.0/22,49673,49673 20485 174 3356 16637 37531
197.214.32.0/22,1403,1403 174 24691 37613 36873 37531
197.214.32.0/22,20205,20205 174 24691 37613 36873 37531
197.214.32.0/22,38001,38001 6939 1299 174 24691 37613 36873 37531
197.214.32.0/22,206499,206499 34549 174 24691 37613 36873 37531
197.214.32.0/22,34549,34549 174 24691 37613 36873 37531
197.214.32.0/22,58057,58057 34549 174 24691 37613 36873 37531
197.214.32.0/22,216285,216285 8280 6762 174 24691 37613 36873 37531
197.214.32.0/22,3333,3333 1136 6830 3356 16637 37531
197.214.32.0/22,34927,34927 52025 64289 174 3356 16637 37531
197.214.32.0/22,55720,55720 3491 174 24691 37613 36873 37531
197.214.32.0/22,204092,204092 30781 1299 174 24691 37613 36873 37531
197.214.32.0/22,55720,55720 6939 1299 174 24691 37613 36873 37531
197.214.32.0/22,13830,13830 971 174 24691 37613 36873 37531
197.214.32.0/22,20514,20514 1299 174 24691 37613 36873 37531
197.214.32.0/22,202365,202365 50673 6830 3356 16637 37531
197.214.32.0/22,34800,34800 58057 50673 6830 3356 16637 37531
197.214.32.0/22,44393,44393 58057 50673 6830 3356 16637 37531
197.214.32.0/22,58057,58057 174 24691 37613 36873 37531
197.214.32.0/22,852,852 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 52025 174 24691 37613 36873 37531
197.214.32.0/22,3549,3549 3356 174 24691 37613 36873 37531
197.214.32.0/22,49673,49673 20485 174 24691 37613 36873 37531
197.214.32.0/22,132825,132825 174 24691 37613 36873 37531
197.214.32.0/22,14907,14907 3356 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 52025 64289 32097 174 3356 16637 37531
197.214.32.0/22,34927,34927 52025 32097 174 3356 16637 37531
197.214.32.0/22,20205,20205 1299 174 24691 37613 36873 37531
197.214.32.0/22,34549,34549 6830 174 24691 37613 36873 37531
197.214.32.0/22,59919,59919 41327 174 24691 37613 36873 37531
197.214.32.0/22,34549,34549 1299 174 24691 37613 36873 37531
197.214.32.0/22,58057,58057 34549 1299 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 12186 174 3356 16637 37531
197.214.32.0/22,49673,49673 12389 174 3356 16637 37531
197.214.32.0/22,204092,204092 30781 3356 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 20119 6327 174 3356 16637 37531
197.214.32.0/22,34800,34800 58057 50673 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 20119 174 3356 16637 37531
197.214.32.0/22,17639,17639 174 3356 16637 37531
197.214.32.0/22,202365,202365 50673 174 24691 37613 36873 37531
197.214.32.0/22,58057,58057 1836 3356 174 24691 37613 36873 37531
197.214.32.0/22,29504,29504 15935 174 24691 327727 37613 36873 37531
197.214.32.0/22,4608,4608 4826 3257 174 24691 37613 36873 37531
197.214.32.0/22,1403,1403 1299 174 24691 37613 36873 37531
197.214.32.0/22,206499,206499 34549 174 24691 327727 37613 36873 37531
197.214.32.0/22,34549,34549 174 24691 327727 37613 36873 37531
197.214.32.0/22,58057,58057 34549 174 24691 327727 37613 36873 37531
197.214.32.0/22,49432,49432 48362 1299 174 24691 37613 36873 37531
197.214.32.0/22,3333,3333 1103 24785 1299 6939 16637 37531
197.214.32.0/22,57821,57821 12586 3257 174 24691 327727 37613 36873 37531
197.214.32.0/22,7018,7018 174 24691 327727 37613 36873 37531
197.214.32.0/22,49673,49673 3216 6453 174 24691 37613 36873 37531
197.214.32.0/22,13830,13830 971 174 24691 327727 37613 36873 37531
197.214.32.0/22,34800,34800 58057 50673 6453 174 24691 37613 36873 37531
197.214.32.0/22,202365,202365 50673 6453 174 24691 37613 36873 37531
197.214.32.0/22,59919,59919 41327 6762 6939 16637 37531
197.214.32.0/22,37721,37721 174 24691 327727 37613 36873 37531
197.214.32.0/22,37721,37721 1299 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 36236 174 3356 16637 37531
197.214.32.0/22,44393,44393 394256 174 24691 327727 37613 36873 37531
197.214.32.0/22,58057,58057 174 24691 327727 37613 36873 37531
197.214.32.0/22,34854,34854 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,1403,1403 6461 174 24691 37613 36873 37531
197.214.32.0/22,20205,20205 174 24691 327727 37613 36873 37531
197.214.32.0/22,49432,49432 48362 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,852,852 1299 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 52025 174 24691 327727 37613 36873 37531
197.214.32.0/22,37721,37721 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,1403,1403 577 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 56655 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,852,852 174 24691 327727 37613 36873 37531
197.214.32.0/22,50628,50628 6453 174 24691 37613 36873 37531
197.214.32.0/22,59919,59919 9002 3356 174 24691 37613 36873 37531
197.214.32.0/22,216285,216285 8280 6762 174 24691 327727 37613 36873 37531
197.214.32.0/22,4608,4608 4826 1299 174 24691 37613 36873 37531
197.214.32.0/22,132825,132825 174 24691 327727 37613 36873 37531
197.214.32.0/22,58057,58057 34549 6830 174 24691 37613 36873 37531
197.214.32.0/22,38001,38001 6939 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,17639,17639 3491 174 24691 37613 36873 37531
197.214.32.0/22,37721,37721 5511 327708 37531
197.214.32.0/22,55720,55720 3491 174 24691 327727 37613 36873 37531
197.214.32.0/22,20514,20514 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,34800,34800 58057 50673 174 24691 327727 37613 36873 37531
197.214.32.0/22,202365,202365 50673 174 24691 327727 37613 36873 37531
197.214.32.0/22,55720,55720 6939 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,44393,44393 58057 50673 174 24691 327727 37613 36873 37531
197.214.32.0/22,3549,3549 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,29504,29504 15935 9002 3356 174 24691 37613 36873 37531
197.214.32.0/22,20205,20205 174 5511 327708 37531
197.214.32.0/22,4608,4608 4826 9002 3356 174 24691 37613 36873 37531
197.214.32.0/22,20205,20205 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,213241,213241 9002 3356 174 24691 37613 36873 37531
197.214.32.0/22,50300,50300 3356 16637 37531
197.214.32.0/22,17639,17639 174 24691 327727 37613 36873 37531
197.214.32.0/22,14907,14907 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,34927,34927 52025 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,37721,37721 2914 327708 37531
197.214.32.0/22,58057,58057 1836 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,216285,216285 8280 6762 2914 327708 37531
197.214.32.0/22,204092,204092 30781 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,44393,44393 58057 50673 6830 174 24691 37613 36873 37531
197.214.32.0/22,34800,34800 58057 50673 6830 174 24691 37613 36873 37531
197.214.32.0/22,852,852 2914 327708 37531
197.214.32.0/22,328840,328840 327727 174 5511 327708 37531
197.214.32.0/22,202365,202365 50673 6830 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 56655 6939 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,49432,49432 48362 1764 2914 327708 37531
197.214.32.0/22,29504,29504 15935 9002 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,50628,50628 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,49673,49673 3216 6453 174 24691 327727 37613 36873 37531
197.214.32.0/22,34927,34927 52025 32097 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,34927,34927 52025 3257 2914 327708 37531
197.214.32.0/22,4608,4608 4826 1299 174 24691 327727 37613 36873 37531
197.214.32.0/22,213241,213241 9002 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,17639,17639 9304 6453 174 24691 37613 36873 37531
197.214.32.0/22,38001,38001 2914 327708 37531
197.214.32.0/22,24482,24482 2914 327708 37531
197.214.32.0/22,1403,1403 577 6453 174 24691 37613 36873 37531
197.214.32.0/22,20514,20514 2119 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,202365,202365 50673 33891 3320 174 24691 37613 36873 37531
197.214.32.0/22,34800,34800 58057 50673 33891 3320 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 58057 50673 33891 3320 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 6939 1299 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 1299 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 52025 1299 174 24691 37613 36873 37531
197.214.32.0/22,49432,49432 48362 1764 1299 174 24691 37613 36873 37531
197.214.32.0/22,4608,4608 4826 9002 3356 174 24691 327727 37613 36873 37531
197.214.32.0/22,58057,58057 1836 1299 174 24691 37613 36873 37531
197.214.32.0/22,49673,49673 12389 1299 174 24691 37613 36873 37531
197.214.32.0/22,17639,17639 3356 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 54527 3257 174 24691 37613 36873 37531
197.214.32.0/22,58057,58057 1836 174 24691 37613 36873 37531
197.214.32.0/22,49673,49673 12389 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 174 24691 37613 36873 37531
197.214.32.0/22,50300,50300 2914 327708 37531
197.214.32.0/22,17639,17639 174 24691 37613 36873 37531
197.214.32.0/22,38001,38001 3491 174 24691 37613 36873 37531
197.214.32.0/22,48185,48185 3356 174 24691 37613 36873 37531
197.214.32.0/22,3333,3333 1257 174 24691 37613 36873 37531
197.214.32.0/22,57381,57381 42708 1299 6939 16637 37531
197.214.32.0/22,50304,50304 1299 174 24691 37613 36873 37531
197.214.32.0/22,22652,22652 1299 3356 16637 37531
197.214.32.0/22,44393,44393 58057 50673 174 24691 37613 36873 37531
197.214.32.0/22,57381,57381 42708 1299 174 24691 37613 36873 37531
197.214.32.0/22,57381,57381 50304 1299 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 58057 50673 6453 174 24691 37613 36873 37531
197.214.32.0/22,49673,49673 20485 6453 174 24691 37613 36873 37531
197.214.32.0/22,22652,22652 1299 174 16637 37531
197.214.32.0/22,22652,22652 174 5511 327708 37531
197.214.32.0/22,22652,22652 174 24691 37613 36873 37531
197.214.32.0/22,4608,4608 1221 4637 5511 327708 37531
197.214.32.0/22,206499,206499 34549 1299 174 24691 37613 36873 37531
197.214.32.0/22,3333,3333 3320 174 24691 37613 36873 37531
197.214.32.0/22,57821,57821 12586 1299 174 24691 37613 36873 37531
197.214.32.0/22,328840,328840 327727 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 56655 6939 5511 327708 37531
197.214.32.0/22,20205,20205 6939 5511 327708 37531
197.214.32.0/22,1403,1403 577 1299 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 52025 32097 1299 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 12186 32097 1299 174 24691 37613 36873 37531
197.214.32.0/22,49432,49432 48362 1764 3356 174 24691 37613 36873 37531
197.214.32.0/22,50628,50628 3356 174 24691 37613 36873 37531
197.214.32.0/22,38001,38001 9002 3356 174 24691 37613 36873 37531
197.214.32.0/22,20514,20514 2119 3356 174 24691 37613 36873 37531
197.214.32.0/22,49432,49432 48362 9002 3356 174 24691 37613 36873 37531
197.214.32.0/22,49673,49673 12389 3491 174 24691 37613 36873 37531
197.214.32.0/22,49673,49673 12389 5511 327708 37531
197.214.32.0/22,29504,29504 15935 174 5511 327708 37531
197.214.32.0/22,48185,48185 2914 327708 37531
197.214.32.0/22,17639,17639 9002 3356 174 24691 37613 36873 37531
197.214.32.0/22,58057,58057 174 5511 327708 37531
197.214.32.0/22,58057,58057 1836 5511 327708 37531
197.214.32.0/22,50628,50628 35280 2914 327708 37531
197.214.32.0/22,34854,34854 3257 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 52025 32097 1239 174 24691 37613 36873 37531
197.214.32.0/22,48185,48185 1299 174 24691 37613 36873 37531
197.214.32.0/22,17639,17639 7473 1299 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 20119 174 24691 37613 36873 37531
197.214.32.0/22,59919,59919 12779 174 24691 37613 36873 37531
197.214.32.0/22,50300,50300 3257 174 24691 37613 36873 37531
197.214.32.0/22,50300,50300 174 24691 37613 36873 37531
197.214.32.0/22,15562,15562 2914 5511 327708 37531
197.214.32.0/22,15562,15562 2914 174 24691 37613 36873 37531
197.214.32.0/22,45049,45049 6696 1299 174 24691 37613 36873 37531
197.214.32.0/22,37721,37721 174 24691 37613 36873 37531
197.214.32.0/22,34549,34549 2914 174 24691 37613 36873 37531
197.214.32.0/22,58057,58057 34549 2914 174 24691 37613 36873 37531
197.214.32.0/22,34927,34927 52025 32097 174 24691 37613 36873 37531
197.214.32.0/22,206499,206499 34549 2914 174 24691 37613 36873 37531
197.214.32.0/22,13830,13830 3356 174 24691 37613 36873 37531
197.214.32.0/22,4608,4608 1221 4637 1299 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 36236 174 24691 37613 36873 37531
197.214.32.0/22,22652,22652 1299 174 24691 37613 36873 37531
197.214.32.0/22,852,852 2914 174 24691 37613 36873 37531
197.214.32.0/22,206499,206499 34549 5511 174 24691 37613 36873 37531
197.214.32.0/22,34549,34549 5511 174 24691 37613 36873 37531
197.214.32.0/22,58057,58057 34549 5511 174 24691 37613 36873 37531
197.214.32.0/22,44393,44393 394256 54527 3356 174 24691 37613 36873 37531
197.214.32.0/22,216285,216285 8280 3356 174 24691 37613 36873 37531
197.214.32.0/22,34854,34854 3320 174 24691 37613 36873 37531
197.214.32.0/22,206499,206499 34549 6830 174 24691 37613 36873 37531
197.214.32.0/22,204092,204092 34019 6696 1299 174 24691 37613 36873 37531
